,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Mact
211,1,9.79,-0.07,0.46172,-1.449,3.593,4.87,9.1,0.037,0.0,17.492,16.996,15.804,15.185,15.037,0.462
212,1,9.79,-0.03,0.62315,-1.034,3.63,4.734,11.1,0.038,0.0,18.455,17.928,16.892,16.22,16.11,0.623
213,1,9.79,0.05,0.93723,-0.139,3.742,4.465,10.7,0.038,0.0,15.819,15.237,14.621,14.258,14.208,0.937
214,1,9.79,0.05,0.51919,-1.323,3.6,4.822,11.8,0.038,0.0,19.879,19.385,18.212,17.556,17.424,0.519
215,1,9.79,0.11,0.18995,-2.308,3.527,5.078,9.9,0.038,0.0,20.441,20.11,18.591,18.056,17.822,0.19
216,1,9.79,0.11,0.26832,-1.989,3.549,5.0,11.4,0.038,0.0,21.143,20.755,19.352,18.796,18.567,0.268
217,1,9.81,-0.55,0.28314,-1.81,3.595,5.027,10.3,0.038,0.0,19.594,19.056,17.944,17.364,17.203,0.283
218,1,9.81,-0.53,0.16454,-2.398,3.537,5.148,10.3,0.038,0.0,21.066,20.682,19.289,18.725,18.492,0.165
219,1,9.81,-0.49,0.15946,-2.445,3.53,5.151,6.8,0.029,0.0,17.682,17.316,15.882,15.319,15.084,0.159
220,1,9.81,-0.35,0.16584,-2.42,3.529,5.137,10.0,0.038,0.0,20.819,20.468,19.006,18.45,18.214,0.166
221,1,9.81,-0.33,0.1389,-2.638,3.504,5.18,8.6,0.037,0.0,19.966,19.695,18.091,17.535,17.293,0.139
222,1,9.81,-0.33,0.21856,-2.099,3.564,5.078,11.0,0.038,0.0,21.018,20.563,19.276,18.717,18.511,0.219
223,1,9.81,-0.29,0.43749,-1.469,3.6,4.894,10.0,0.038,0.0,18.442,17.917,16.795,16.176,16.033,0.437
224,1,9.81,-0.25,0.3147,-1.804,3.578,4.998,10.8,0.038,0.0,20.081,19.592,18.358,17.79,17.61,0.315
225,1,9.81,-0.21,0.42602,-1.511,3.594,4.9,12.0,0.038,0.0,20.549,20.04,18.873,18.264,18.113,0.426
226,1,9.81,-0.21,0.95023,0.001,3.768,4.431,12.4,0.038,0.0,17.166,16.634,16.092,15.782,15.742,0.95
227,1,9.81,-0.19,0.64873,-0.91,3.65,4.705,9.1,0.037,0.0,16.146,15.596,14.64,14.004,13.907,0.649
228,1,9.81,-0.13,0.20561,-2.182,3.549,5.076,8.1,0.035,0.0,18.326,17.927,16.545,15.99,15.76,0.206
229,1,9.81,-0.13,0.39039,-1.618,3.583,4.926,11.2,0.038,0.0,20.015,19.531,18.294,17.709,17.542,0.39
230,1,9.81,-0.09,0.13342,-2.714,3.489,5.178,8.9,0.037,0.0,20.456,20.246,18.523,17.99,17.739,0.133
231,1,9.81,-0.07,0.2433,-2.049,3.554,5.036,11.3,0.038,0.0,21.193,20.785,19.415,18.857,18.636,0.243
232,1,9.81,-0.03,0.65526,-0.942,3.64,4.703,10.0,0.038,0.0,17.124,16.586,15.589,14.932,14.83,0.655
